'abbrev	abbreviation
hot pic	hot picture, as in sexy or naked
hott	hot
househ	household
housek	housekeeping
howdey	hello
howz	hows
hoyew	hanging on your every word
hp	higher power
hpb	high ping bastard
hpoa	Hot Piece of Ass
hppo	highest paid person in office
hppy	Happy
hpy	happy
hpybdy	happy birthday
hr	hour
hre	here
hrny	horny
hrs	hours
hru	how are you
hrud	how are you doing
hs	headshot
hsd	high school dropout
hsiab	haven't seen it all before
hsik	how should i know
hsr	homestar runner
hss	horse shit and splinters
hswm	Have Sex With me
ht	Heard Through
htb	hang the bastards
htc	hit the cell
htf	how the fuck
htfu	Hurry the fuck up
hth	hope that helps
hthu	Hurry the hell up
htnoth	hit the nail on the head
htr	hater
http	hyper text transfer protocol
hu	Hey you
hua	heads up ace
hubby	husband
hud	Heads Up Display
huggle	hug and cuddle
hugz	hugs
huh	what
hun	honey
husb	husbandry
huya	head up your ass
hv	have
hve	have
hvnt	haven't
hw	homework
hw/hw	help me with homework
hwg	here we go
hwga	here we go again
hwik	how would i know
hwk	homework
hwmbo	he who must be obeyed
hwmnbn	he who must not be named
hwms	hot wild monkey sex
hwu	hey what's up
hwz	how is
hx	history
hxc	hardcore
hy	hell yeah
hyb	how you been
hydraul	hydraulic
hydrol	hydrology, hydrological
hyg	here you go
hyk	how you know
i <3 i	i love it
i <3 u	I love you
i 1-d-r	i wonder
i c	i see
i h8 it	i hate it
i-d-l	ideal
i'm	I am
i've	I have
i&i	intercourse & inebriation
i<3 u	i love you
i<3u	I love you
i8	alright
i8u	i hate you
iab	I Am Bored
iac	in any case
iae	in any event
iafh	I Am Fucking Hot
iafi	I am from India
iag	it's all good
iagtkom	i ain't got that kind of money
iah	i am horny
iai	i am interested
iaits	it's all in the subject
ianabs	I am not a brain surgeon
ianac	i am not a crook
ianacl	I am not a copyright lawyer
ianadbipootv	i am not a doctor but i play one on tv
ianae	i am not an expert
ianal	I am not a lawyer
ianalb	I am not a lawyer, but..
ianars	I am not a rocket scientist
iannngc	i am not nurturing the next generation of casualties
ians	I am Not Sure
ianyl	I am not your lawyer
iap	I Am Pissed
iasap4u	i always say a prayer for you
iasb	i am so bored
iaspfm	i am sorry please forgive me
iat	i am tired
iatb	I am the best
iateu	i hate you
iavb	i am very bored
iaw	In Another Window
iawtc	I agree with this comment
iawtp	I agree with this post
iawy	I agree with you
iaym	i am your master
ib	I'm back
ibcd	Idiot between chair & desk
ibgybg	i'll be gone, you'll be gone
ibiwisi	i'll believe it when i see it
ibk	idiot behind keyboard
ibrb	i'll be right back
ibs	Internet Bitch Slap
ibt	I'll be there
ibtc	itty bitty titty committee
ibtd	i beg to differ
ibtl	In Before The Lock
ibw	I'll be waiting
ic	I see
icb	I can't believe
icbi	i can't believe it
icbiwoop	I chuckled, but it was out of pity.
icbt	i can't believe that
icbu	I can't believe you
icbw	i could be wrong
icbwicbm	it could be worse, it could be me
icbyst	i cant believe you said that
iccl	I could care less
icgup	I can give you pleasure
ichth	ichthyology
icic	I See. I See
icihicpcl	i can't imagine how i could possibly care less
icp	insane clown posse
icr	I can't rememer
icsrg	I can still reach Google
icthyol	icthyology
ictrn	I can't talk right now
icty	i can't tell you
icu	i see you
icudk	in case you didn't know
icup	i see you pee
icw	I care why?
icwudt	I see what you did there
icwum	I see what you mean
icyc	in case you're curious
icydk	in csae you didn't know
icydn	in case you didn't know
icymi	in case you missed it
id	identification
id10t	idiot
idbtwdsat	I don't believe they would do such a thing
idby	I Don't Believe You
idc	I don't care
iddi	I didn't do it
idec	I don't even care
idek	I don't even know
ideol	ideology, ideological
idfc	i don't fucking care
idfk	i don't fucking know
idfts	I don't fucking think so
idgac	i don't give a crap
idgad	I don't give a damn
idgaf	i don't give a fuck
idgaff	I don't give a flying fuck
idgafs	I don't give a fucking shit
idgara	I don't give a rat's ass
idgas	i don't give a shit
idgi	I don't get it
idiftl	i did it for the lulz
idjit	idiot
idk	I don't know
idk, my bff jill	i don't know, my best friend forever jill
idkabtt	i don't know about that
idkbibt	I don't know but I've Been Told
idke	I don't know ethier
idkh	I don't know how
idkh2s	i don't know how to spell
idkt	I don't know that
idkw	I don't know why
idkwiwdwu	I don't know what I would do without you
idkwts	I don't know what to say
idkwurta	I don't know what you are talking about.
idkwym	I don't know what you mean
idky	I don't know you
idkyb	i don't know why but
idkymb2	I didn't know yoru mom blogs too
idl	I don't like
idli	I don't like it
idlu	i don't like you
idly	I don't like you
idlyitw	i don't like you in that way
idm	I don't mind
idn	i don't know
idnk	i don't know
idno	i do not know
idntk	i dont need to know
idonno	i do not know
idop	it depends on price
idot	idiot
idr	I don't remember
idrc	i don't really care
idrfk	I don't really fucking know
idrgaf	I don't really give a fuck
idrk	i don't really know
idrts	I don't really think so
idst	i didn't say that
idsw	i don't see why
idta	i did that already
idtbbf	i deserve to be blown first
idtis	I don't think I should
idtkso	i don't think so
idts	i don't think so
idunno	i do not know
iduwym	I don't understand what you mean.
idw2	I don't want to
idw2n	i don't want to know
idwk	I don't wanna know
idwt	i don't want to
idwtg	I don't want to go
idwtub	i don't want to upset you but
idyat	idiot
iebkac	issue exists between keyboard and chair
ief	it's esther's fault
ietf	internet engineering task force
if/ib	in the front
ifab	i found a bug
iff	if and only if
ifhu	I fucking hate you
ifhy	i fucking hate you
iflu	i fucking love you
ifthtb	i find that hard to belive
ifttt	if this then that
ifu	i fucked up
ifwis	I forgot what I said
ig	I guess
ig2g	I got to go
ig5oi	I got 5 on it
igahp	I've got a huge penis
igalboc	I've got a lovely bunch of cocnuts
igg	i gotta go
iggp	i gotta go pee
ight	alright
igkymfa	I'm gonna kick your mother fucking ass
igs	I guess so
igt	I Got This
igtg	i've got to go
igtgt	I got to go tinkle
igtkya	im going to kick your ass
igtp	i get the point
igws	it goes without saying
igwst	it goes without saying that
igyb	I Got Your Back
igyhtbt	i guess you had to be there
ih2gp	I have to go pee
ih2p	i'll have to pass
ih8	i hate
ih8mls	I hate my little sister
ih8p	I hate parents
ih8tu	i hate you
ih8u	I hate you
ih8usm	i hate you so much
ih8y	I hate you
iha	i hate acronyms
ihac	I have a customer
ihaim	i have another instant message
ihat3u	I hate you
ihistr	i hope i spelled that right
ihiwydt	I hate it when you do that
ihml	I hate my life
ihmp	i hate my parents
ihnc	i have no clue
ihnfc	I have no fucking clue
ihni	i have no idea
ihno	i have no opinion
iht	I heard that
ihtfp	I hate this fucking place
ihtgttbwijd	I have to go to the bathroom, wait I just did.
ihtp	I Have To Poop
ihtsm	i hate this so much
ihtutbr	I have to use the bathroom
ihu	I hate you
ihurg	i hate your guts
ihusb	i hate you so bad
ihusfm	i hate you so fucking much
ihusm	i hate you so much
ihy	i hate you
ihya	i hate you all
ihysm	I hate you so much
ihysmrn	i hate you so much right now
iiabdfi	if it ain't broke, don't fix it
iigh	alright
iight	alright
iiio	intel inside, idiot outside
iimad	if it makes any difference
iinm	if i'm not mistaken
iiok	is it okay
iir	if i remember
iirc	if I recall correctly
iistgtbtipi	If It Sounds Too Good To Be True It Probably Is
iit	is it tight
iitlyto	if it's too loud you're too old
iitm	it's in the mail
iitywimwybmad	if i tell you what it means will you buy me a drink
iitywybmad	if I tell you, will you buy me a drink?
iiuc	if I understand correctly
iiw2	is it web 2.0?
iiwii	it is what it is
iiwm	if it were me
ij	indide joke
ijaf	it's just a fact
ijcomk	i just came on my keyboard
ijdk	I just don't know
ijdl	I just died laughing
ijeomk	I just ejaculated on my keybord
ijf	i just farted
ijgl	I just got laid
ijit	idiot
ijp	Internet job posting
ijpmp	I just peed my pants
ijpms	I just pissed myself
ijr	i just remembered
ijs	i'm just saying...
ijsabomomcibstg	I just saved a bunch of money on my car insurance by switching to geico
ijwtk	i just want to know
ijwts	i just want to say
ik	i know
ikaloplt	i know a lot of people like that
iki	i know it
ikm	I know man
ikr	I know really
ikt	i knew that
ikwud	I know what you did
ikwum	I know what you meant
ikwyl	I know where you live
ikwym	i know what you mean
ikyabwai	i know you are but what am i?
ila	i love acronyms
ilbbaicnl	I like big butts and I can not lie
ilbcnu	i'll be seeing you
ilcul8r	I'll see you later
ilf/md	i love female/male dominance
ilhsm	i love him/her so much
ili	i love it
iliciscomk	i laughed, i cried, i spat/spilt coffee/crumbs/coke on my keyboard
ilk2fku	I would like to fuck you
illustr	illustrated, illustration(s)
ilmj	i love my job
ilms	I love my self
ilotibinlirl	I'm laughing on the internet, but I'm not laughing in real life
ilshipmp	I laughed so hard I peed my pants
iltf	i love to fuck
ilu	I love you
ilu2	I love you too
iluaaf	i love you as a friend
ilulafklc	I love you like a fat kid loves cake.
ilum	i love you more
ilusfm	I love you so fucking much
ilusm	I love you So much
iluvm	I Love You Very Much
iluvu	i love you
iluvya	i love you
iluwamh	i love you with all my heart
ilvu	i love you
ily	i love you
ily2	i love you too
ily4e	i love you forever
ily4ev	i love you forever
ilyaas	I Love You As A Sister
ilyal	I like you a lot
ilyb	i love you bitch
ilybby	i love you baby
ilybtid	I Love You But Then I Don't
ilyf	I'll Love You Forever
ilygsm	i love you guys so much
ilykthnxbai	i love you k thanks bye
ilyl	i love you loads
ilylab	I love you like a brother
ilylabf	I love you like a best friend
ilylafklc	i love you like a fat kid loves cake
ilylas	i love you like a sister
ilylc	i love you like crazy
ilym	i love you more
ilymtyk	i love you more than you know
ilymtylm	i love you more than you love me
ilysfm	i love you so fucking much
ilysfmb	i love you so fucking much baby
ilysm	i love you so much
ilysmih	i love you so much it hurts
ilysmm	i love you so much more
ilysmydek	I Love You So Much You Don't Even Know
ilysvm	i love you so very much
ilyvm	i love you very much
ilywamh	I love you with all my heart
im	I am
im'd	instant messaged
im26c4u	I am too sexy for you
im2bz2p	i am too busy to (even) pee
ima	I am a
imag	imaginary, imagination
imao	in my arrogant opinion
imb	I am back
imcdo	in my conceited dogmatic opinion
imco	in my considered opinion
ime	in my experience
imed	instant messaged
imezru	i am easy, are you?
imfao	In My Fucking Arrogant Opinion
imfo	in my fucking opinion
imgc	i might get caught
imh	I am here
imhbco	In my humble but correct opinion
imhe	in my humble experience
imheiuo	in my high exalted informed unassailable opinion
imhif	i move how i feel
imho	in my humble opinion
imit	imitative
imjs	i'm just saying
imm	instant message me
imma	I'm going to
imml	i make myself laugh
immunol	immunology
imnerho	In my not even remotely humble opinion
imnl	I'm not laughing
imnshmfo	In My Not So Humble Mother Fucking Opinion
imnsho	in my not so humble opinion
imo	in my opinion
imoo	in my own opinion
imowha	i made out with him/her anyway
imp	imperative
imperf	imperfect
impers	impersonal
impf	imperfect
impo	In My Personal Opinion
impov	in my point of view
impr	impression(s)
improp	improper(ly)
imr	i mean really
imru	i am, are you?
ims	i am sorry
imsb	i am so bored
imsry	I am sorry
imtaw	it may take a while
imts	I meant to say
imu	i miss you
imusm	I miss you so much
imvho	in my very humble opinion
imwtk	Inquiring minds want to know
imy	I miss you
imy2	i miss you to
imya	i miss you already
imysfm	i miss you so fucking much
in2	into
inaug	inaugural
inb4	in before
inbd	it's no big deal
inclos	inclosure
incrse	increase
ind	industry
ind2p	I need to pee
indef	indefinite
indic	indicative
indie	independent
indir	indirect
industr	industrial
industr rel	industrial relations
inef	it's not even funny
inet	internet
infin	infinitive
infl	influenced
inh	I need help
inho	in my honest opinion
inhwh	I need homework help
init	isn't it
inmp	it's not my problem
innit	isn't it
innoc	innocence, innocent
innw	if not now when?
ino	I know
inorg	inorganic
inpo	in no particular order
inq	inquiry
inst	institute, institution
instagib	instant kill
instakill	instant kill
instr	instrumental
int	interjection
intarwebs	internet
intel	intelligence
intell	intelligence, intelligent
interc	intercourse
interj	interjection
interl	interlude
internat	international
interpr	interpretation
interrog	interrogative
interweb	internet
intpftpotm	I nominate this post for the post of the month
intr	intransitive
intrans	intransitive
intro	introduction
introd	introduction, introductory
inttwmf	I am Not Typing This With My Fingers
inucosm	it's no use crying over spilt milk
inv	inventory, inventories
invent	invention(s)
invert zool	invertebrate zoology
invertebr	invertebrate, invertebrated
investig	investigation
investm	investment
invoc	invocation
invu	I envy you
ioh	I'm out of here
iois	Indicators of Interest
iokiya	it's ok if you are
ion	index of names
ionno	I don't know
iono	I don't know
iot	in order to
iotd	image of the day
iottco	intuitively obvious to the casual observer
iou	i owe you
ioud	inside, outside, upside down
iow	in other words
ioya	I'd Own Your Ass
ioyk	if only you knew
ip	internet protocol
ipn	i'm posting naked
ir	Irish
irc	internet relay chat
irdc	I really don't care
irdgaf	i really don't give a fuck
irdk	I really don't know
irel	Ireland
irgtgbtw	I've really got to get back to work
irhtgttbr	I really have to go to the bathroom
irhy	i really hate you
irl	in real life
irly	I really love you
irncot	i'd rather not comment on that
iron	ironically
irreg	irregular(ly)
irt	in reply to
irtf	I'll return the favor
is2g	i swear to god
isa	(in the Bible) Isaiah
isagn	i see a great need
isb	I'm so bored.
isbya	im sorry but you asked
isd	internet slang dictionary
ise	internal server error
isfly	i so fucking love you
isg	I speak geek
ish	insert sarcasm here
ishii	i see how it is
isianmtu	I swear I am not making this up
isj	inside joke
isnt	is not
iso	In Search Of
isp	internet service provider
iss	im so sorry
issoys	i'm so sick of your stuff
issygti	i'm so sure you get the idea
istm	it seems to me
istr	I seem to remember
istwfn	I stole this word from noslang.com
iswc	if stupid were a crime
iswydt	i see what you did there
iswym	i see what you mean
isyals	i'll send you a letter soon
it's	It is
ita	I Totally Agree
ital	Italian
itb	in the butt
itc	in that case
itd	in the dark
ite	alright
itfa	in the final analysis
itigbs	i think i'm going to be sick
itk	in the know
itm	in the money
itma	it's that man again
itn	I think not
its a d8	it's a date
itsfwi	if the shoe fits wear it
itt	in this thread
ityltk	I thought you'd like to know
itz	it's
itzk	it's ok
iucmd	if you catch my drift
iukwim	if you know what i mean
ium	if you must
iunno	I don't know
iuno	i dunno
iuri	if you are interested
ive	i have
iw2f	i want to fuck
iw2fu	i want to fuck you
iw2mu	I want to meet you
iwaa	It was an accident
iwalu	i will always love you
iwbaptakyaiysta	i will buy a plane ticket and kick your ass if you say that again
iwbni	it would be nice if
iwbrbl@r	I will be right back later
iwc	In Which Case
iwfu	i wanna fuck you
iwfusb	i wanna fuck you so bad
iwfy	I want to fuck you
iwfybo	i will fuck your brains out
iwg	it was good
iwhi	I would hit it
iwhswu	I want to have sex with you
iwiwu	i wish i was you
iwjk	i was just kidding
iwk	I wouldn't know
iwlu4e	I will love you for ever
iwmu	i will miss you
iwmy	i will miss you
iws	i want sex
iwsn	i want sex now
iwsul8r	I will see you later
iwtfu	i want to fuck you
iwtfy	i want to fuck you
iwthswy	i want to have sex with you
iwtly	i want to love you
iwu	i want you
iwuwh	i wish you were here
iwy	i want you
iwyb	I want your body
iwyn	I want you now
iwythmb	i want you to have my baby
iyam	if you ask me
iyaoyas	if you ain't ordinance you ain't shit
iycssnasdsaaa	if you can’t say something nice about someone don’t say anything at all
iyd	In Your Dreams
iydhantsdsaaa	If you don't have anything nice to say don't say anything at all
iydmma	if you don't mind me asking
iyf	In your face
iyfd	in your fucking dreams
iyfeg	insert your favorite ethnic group
iyflg	If You're Feeling Less Generous
iygm	if you get me
iykwim	if you know what I mean
iykwimaityd	if you know what i mean and i think you do
iym	I am your man
iyo	in your opinion
iyq	I like you
iyss	if you say so
iyswim	if you see what I mean
iywt	if you want to
iz	is
j-c	just chilling
j/a	Just Asking
j/c	just curious
j/j	just joking
j/k	just kidding
j/o	jackoff
j/p	just playing
j/s	just saying
j/t	just talking
j/w	just wondering
j00	you
j00r	your
j2bs	just to be sure
j2c	just too cute
j2f	just too funny
j2luk	just to let you know
j2lyk	just to let you know
j4f	just for fun
j4g	just for grins
j4l	just for laughs
j4t	just for today
j4u	just for you
j5m	just five minutes
jad	just another day
jafo	just another fucking onlooker
jafs	just a fucking salesman
jahrb	Jahrbuch
jalaudlm	just as long as you don't leave me
jan	January
jap	Japanese
jas	just a second
jb	jailbait
jbu	just between us
jc	just curious
jcam	just checking away message
jcath	Just chilling at the house
jdfi	Just fucking do it
jdi	just do it
jdmj	just doing my job
jealz	jealous
jebus	Jesus
jeomk	Just ejaculated on my keyboard
jer	(in the Bible) Jeremiah
jf	just fooling
jfc	Jesus fucking Christ
jfdi	Just Fucking Do It!
jff	just for fun
jfg	just for giggles
jfgi	just fucking google it
jfh	just fuck her
jfi	just forget it
jfj	jump for joy
jfk	Just fucking kidding
jfl	just for laughs
jflts	just felt like typing something
jfn	just for now
jfo	just fuck off
jfr	Just for reference
jft	just for today
jftr	just for the record
jfu	just for you
jfwy	just fucking with you
jg2h	just go to hell
jgiyn	Just google it you noob
jgmb	just google me bitch
jgtfooh	just get the fuck out of here
jh	Just hanging
jhm	just hold me
jho	just hanging out
jhom	just helping out my (mafia, mob, neighbors, etc.)
jhomf	just helping out my friend(s)
jic	just in case
jit	just in time
jizz	semen
jj	just joking
jj/k	just joking
jja	just joking around
jk	just kidding
jka	just kidding around
jking	joking
jkl	just kidding loser
jklol	Just Kidding Laughing Out Loud
jkn	joking
jks	jokes
jkz	jokes
jlma	just leave me alone
jlt	just like that
jm	Just Messing
jm2c	just my 2 cents
jma	just messing around
jml	just my luck
jmo	just my opinion
jms	just making sure
joc	jocular(ly)
jom	just one minuite
joo	you
jooc	just out of curiosity
jooce	Juice
joor	your
joott	just one of those things
josh	(in the Bible) Joshua
jp	just playing
jrnl	journal
jrnls	journals
js	just saying
jsa	just stop already
jsing	just saying
jst	just
jsu	just shut up
jsuk	just so you know
jsun	Just so you know
jsut	just
jsyk	Just so you know
jsyn	just so you know
jt	just teasing
jtay	just thinking about you
jtbs	Just To Be Sure
jtc	Join the club
jtfo	joke the fuck out
jtluk	just to let you know
jtlyk	just to let you know
jtoi	just thought of it
jtol	just thinking out loud
jtou	just thinking of you
jttsiowctw	just testing to see if other websites copy this word
jtty	just to tell you
jtumltk	just thought you might like to know
jtwii	just the way it is.
jtwiw	just the way it was.
jtyltk	just thought you'd like to know
jtysk	just thought you should know
juadlam	jumping up and down like a monkey
jud	(in the Bible) Judges
judg	(in the Bible) Judges
jul	July
jumping the couch	acting strange
jun	June
jurisd	jurisdiction
jurisdict	jurisdiction
jurispr	jurisprudence
jus	just
juss	just
justif	justification
justific	justification
juz	just
juzt	just
jw	just wondering
jw2k	just wanted to know
jwas	just wait a second
jwtlyk	Just wanted to let you know
jyfihp	jam your finger in her pussy
k	ok
k3wl	cool
k4y	kiss for you
ka	Kick Ass
kab	kick ass bitch
kafn	kill all fucking noobs
kah	kisses and hugs
kaw	kick ass work
kb	kilobyte
kbd	keyboard
kcco	keep calm chive on
kek	laughing out loud
kent	Kentish
kewel	cool
kewl	cool
kfc	kentucky fried chicken
kfy	kiss for you
khitbash	kick her in the box and shove her
khuf	know how you feel
khyf	know how you feel
kia	Killed In Action
kib	okay, im back
kibo	knowledge in, bullshit out
kic	keep it clean
kig	keep it going
kiled	killed
kinda	kind of
king’s bench div	King’s Bench Division
kingd	kingdom
kippers	kids in parents' pockets eroding retirement savings
kir	kid in room
kis	keep it simple
kisa	knight in shining armor
kit	keep in touch
kitfo	knock it the fuck off
kitteh	kitten
kity	keep it to yourself
kiu	Keep it up
kiwf	Kill It With Fire
kk	ok
kkk	ku klux klan
kkthnxbye	okay thanks bye
kky	kinky
kl	cool
km	kiss me
kma	kiss my ass
kmag	kiss my ass goodbye
kmao	kick my ass off
kmb	kiss my butt
kmba	kiss my black ass
kmfa	kiss my fucking ass
kmfha	kiss my fat hairy ass
kmhba	kiss my hairy big ass
kmn	kill me now
kmp	kill me please
kmria	kiss my royal irish arse
kmsl	killing myself laughing
kmsla	kiss my shiny little ass
kmswl	killing myself with laughter
kmuf	kiss me you fool
kmwa	kiss my white ass
knackered	drunk
knewb	new player
knn	fuck your mother
kno	know
knowl	knowledge
knw	know
ko	knock out
kok	knock
kol	kiss on lips
koo	cool
kool	cool
kos	kid over shoulder
kotc	kiss on the cheek
kotl	kiss on the lips
kotor	Knights of the old republic
kots	keep on talking shit
kpc	keeping parents clueless
kpr	keeper
ks	kill steal
kss	kiss
kssd	kissed
kt	keep talking
ktc	kill the cat
ktfo	knocked the fuck out
kthanxbi	Okay, thanks. Bye.
kthnxbai	Okay, thanks, bye
kthnxbye	Okay, thanks, bye
kthx	ok, thank you
kthxbai	ok thanks bye!
kthxbi	ok, thank you, goodbye
kthxbye	ok, thank you, goodbye
kthxgb	ok thanks goodbye
kthxmn	Ok Thanks Man
kthz	ok thanks
ktnx	Okay and Thanks
kudt	dutch for fucked up life
kuhl	cool
kul	cool
kute	cute
kutgw	Keep Up The good Work
kuwl	cool
kwik	quick
kwim	Know What I Mean
kwis	Know what I'm saying?
kwit	quit
kwiz	quiz
kwl	cool
kwsta	kiss with serious tongue action
kwtsds	Kiss where the sun don't shine
kyag	Kiss Your Ass Goodbye
kybc	keep your bum clean
kyfag	kiss your fucking ass goodbye
kyfc	keep your fingers crossed
kyko	keep your knickers on
kync	keep your nose clean
kypo	keep your pants on
kys	kill yourself
kysoti	keep your stick on the ice
l	laugh
l?^	let's hook up
l@u	laughing at you
l/m	left message
l&r	love and respect
l0lz	laugh out loud
l2	learn to
l2m	listening to music
l2ms	laughing to myself
l2p	learn to play
l2r	Learn to read
l337	elite
l33t	elite
l4m3rz	lamers
l8	late
l84skool	late for school
l8a	later
l8er	later
l8ers	Later
l8r	see you later
l8rs	laters
l8rz	later
l8s	later
l8t	later
l8ta	later
l8ter	later
l8tr	later
lab	laboratory
labatyd	life's a bitch and then you die
laff	laugh
lafs	love at first sight
lafw	listening (but) away from window
lagnaf	lets all get naked and fuck
lak	love and kisses
lal	laughing a little
lalol	lots and lots of laughs
lam	(in the Bible) Lamentations
lament	lamentation
lamf	like a motherfucker
lan	local area network
lanc	Lancashire
lancash	Lancashire
lancs	Lancashire
lang	language
langs	languages
laoj	laughing at own joke
lappy	Laptop
laq	lame ass quote
larp	live action role-play
lasb	Lame Ass Stupid Bitch
lat	laugh at that
lata	later
lates	later
latn	laugh at the newbs
latr	Later
latwttb	laughing all the way to the bank
lau	laugh at you
lawd	lord
lawl	lauging out loud with a southern drawl
lawl'd	laughed out loud
lawled	laughed out loud
lawls	laughing out loud with a southern drawl
lawlz	laughing out loud with a southern drawl
lazer	laser
lazor	laser
lb?w/c	like bondage? whips or chains
lbh	let's be honest
lbig	laughing because i'm gay
lbnr	laughing but not really
lbo	laughing butt off
lbr	little boy's room
lbr and lgr	little boy's room and little girl's room
lbs	laughing but serious
lbug	laughing because you're gay
lbvs	laughing but very serious
lcsnpc	low cost small notebook personal computer
ld	long distance
ldimedilligaf	look deeply into my eyes, does it look like i give a fuck
ldr	Long-distance relationship
lds	Lords
ldttwa	let's do the time warp again
lect	lecture(s)
lee7	elite
leechd	leechdom
leet	elite
leg	legend(s)
legit	legitimate
leicest	Leicestershire
leicester	Leicestershire
leicestersh	Leicestershire
leics	Leicestershire
leik	like
leme	let me
lemme	let me
lesbo	lesbian
less than 3	love
less than three	love
let	letter
lett	letters
lev	(in the Bible) Leviticus
lex	lexicon
lez	Lesbian
lezbean	lesbian
lezbo	lesbian
lezzzie	lesbian
lf	looking for
lf1m	Looking for one more
lf2m	looking for 2 more
lfg	Looking for group
lfl	let's fuck later
lfm	looking for mate
lfnar	laughing for no aparent reason
lfp	looking for pussy
lfr	Laughing for real
lfti	looking forward to it
lfu	life"s fucked up
lg	life's good
lgb	lesbian/gay/bisexual
lgbnaf	lets get butt naked and fuck
lgbt	lesbian, gay, bisexual, transgender
lgbtq	Lesbien, Gay, Bisexual, Transgender and Queer.
lgf	little green footballs
lggd	let's go get drunk
lgmas	lord give me a sign
lgn	link goes nowhere
lgo	life goes on
lgot	let's go out tonight
lgr	little girls room
lgs	let's go shopping!
lh	laughing hysterically
lh6	let’s have sex
lhao	laughing her ass off
lhk	love hugs kisses
lhm	lord have mercy
lho	laughing head off
lhos	lets have online sex
lhs	lets have sex
lhso	let's have sex online
lhsrn	let's have sex right now
lhu	let's hook up
lib	lying in bed
libr	library
lic	like i care
liec	like i even care
liek	like
liekz	likes
lifo	last in first out
lig	let it go
ligaff	like I give a flying fuck
ligafs	like I give a flying shit
ligas	like I give a shit
lih	Laugh in head
liita	love is in the air
lik	like
lil	little
limh	laugh in my head
limnol	limnology
lincolnsh	Lincolnshire
lincs	Lincolnshire
ling	linguistic(s)
linn	Linnean
liol	laugh insanely out loud
lir	let it rest
lirl	laughing in real life
lis	laughing in silence
lit	literary, literature
lithogr	lithography
lithol	lithology
liturg	liturgy
liu	Look It Up
liv	live
liyf	laughing in your face
lj	live journal
ljbf	let's just be friends
lk	like
lke	like
lkitr	little kid in the room
ll	lines
llab	Laughing like a bitch.
llap	live long and prosper
llc	laughing like crazy
llf	laugh like fuck
llol	literally laughing out loud
llom	like leno on meth
llt	looks like trouble
llta	lots and lots of thunderous applause
lm46	let's meet for sex
lm4a~##zzzz>	let's meet for a joint
lm4aq	Let's meet for a quickie.
lma	leave me alone
lmamf	leave me alone mother fucker
lmao	laughing my ass off
lmaol	laughing my ass out loud
lmaomtoaoa	Laugh my ass off many times over and over again
lmaonade	laughing my ass off
lmaool	laughing my ass off out loud
lmaootf	Laughing my ass off on the floor
lmaorof	Laughing my Ass off Rolling on the floor
lmaorotf	laughing my ass off rolling on the floor
lmaowrotf	Laughing my ass of while rolling on the floor
lmaowtntpm	laughing my ass off whilst trying not to piss myself
lmaoxh	laughing my ass off extremely hard
lmap	leave me alone please
lmb	lick my balls
lmbao	laughing my black ass off
lmbfwao	laughing my big fat white ass off
lmbo	laughing my butt off
lmbpo	laughing my booty pop off
lmcao	laughing my crazy ass off
lmclao	laughing my cute little ass off
lmd	Lick My Dick
lmfao	laughing my fucking ass off
lmfbo	laugh my fucking butt off
lmffao	laughing my fucking fat ass off
lmffo	Laughing my fucking face off
lmfho	laughing my fucking head off
lmfo	laughing my face off
lmfpo	laughing my fucking pussy off
lmfr	Lets Meet For Real
lmfto	laughing my fuckin tits off
lmg	let me guess
lmgdao	Laughing My God Damn Ass Off
lmgtfy	Let me Google that for you
lmhao	laughing my hairy ass off
lmho	laughing my heiny off
lmip	LETS MEET IN PERSON
lmirl	Let's meet in real life
lmk	let me know
lmkhtwofy	let me know how that works out for you
lmks	Let Me Know Soon
lmkwut	let me know what you think
lml	love my life
lmmfao	laughing my mother fucking ass off
lmmfaos	laughing my mother fucking ass off silly
lmmfas	laugh my mother fuckin ass off
lmmffao	laughing my mother fucking fat ass off
lmo	Leave Me One
lmoa	left a message on your answering machine
lmoao	Laughing my Other Ass Off
lmp	lick my pussy
lmpo	laughing my panties off
lms	leave me some
lmsao	laughing my sexy ass off
lmso	laughing my socks off
lmta	like minds think alike
lmtc	left a message to contact
lmtcb	left message to call back
lmtd	limited
lmtfa	leave me the fuck alone
lmto	laughing my tits off
lmtus	let me tell you something
lmty	laughing more than you
lmvo	laugh my vagina off
ln	last name
lnk	Link
lob	lying on bed
lobfl	Laugh Out Bloody Fucking Loud
loe	(in dates) late Old English
lof	Laughing on floor
lofi	uncool
lofl	laugh out fucking loud
loflmao	laying on floor laughing my ass off
loi	laughing on the inside
lok	lots of kisses
lol	laughing out loud
lol wuss	laugh out loud with unintentional snort sound
lol'd	laughed out loud
lol@u	Laugh out loud at you
lol2u	Laugh out loud to you
lola	laugh out loud again
lolarotf	laughing out loud and rolling on the floor
lolaw	laugh out loud at work
lolcano	laugh out loud
lolci	laughing out loud, crying inside
lolcity	the whole city laughs out loud
lold	laughed out loud
lolees	laugh out loud
lolerz	laugh out loud
lolf	lots of love forever
lolin	laughing out loud
lolio	laugh out loud I own
lollam	Laughing Out Loud Like A Maniac
lollercaust	an extreme event of hilarity
lollercoaster	laugh out loud (a lot)
lollerskates	laughing out loud
lolm	laugh out loud man
loln	laught out loud... not
lolngs	laghing out loud never gonna stop
lolocost	laugh out loud
lolol	saying "lol" out loud
lololz	laugh out loud
lolpimp	Laughing out loud peeing in my pants
